s2id,label,anchor_group,lat,lon
10663753,"QUA IBOE,NGA",305,4.199868071103985,8.04862475088938
106637a7,"QUA IBOE,NGA",305,4.220464991796865,8.092596735499468
1066376b,"QUA IBOE,NGA",305,4.208852156949286,8.070599337564925
10663741,"QUA IBOE,NGA",305,4.209047803008143,8.066318894123349
10663743,"QUA IBOE NIGERIA,NGA",305,4.204966242347977,8.066208793206362
1066374d,"QUA IBOE OIL TERMINAL,NGA",305,4.20383175398034,8.048212831794563
106630ad,"QUA IBOE OIL TERMINAL,NGA",305,4.200178113173103,8.043978142929463
106630cd,"QUA IBOE OIL TERMINAL,NGA",305,4.2198610905470675,8.04478634421384
10663733,"QUA IBOE OIL TERMINAL,NGA",305,4.219672148718927,8.04798464485409
1066472d,"ONNE PORT,NGA",306,4.110070812985264,8.168178269279435
106640d5,"EBOK FIELD,NGA",306,4.106046651082129,8.175690025964785
1066412b,"EBOK FIELD,NGA",306,4.107529964409846,8.17977214548099
106658a9,"MOUDI MARINE TERMINAL,CMR",308,4.115135887293413,8.482091245133285
1066f603,"MOUDI MARINE TERMINAL,CMR",308,4.115287488776548,8.486992844592145
10669947,"MALABO,GNQ",309,3.7928231699849784,8.767270165282211
10669bd7,"MALABO,GNQ",309,3.813054099842937,8.745425575105584
10669ec3,"MALABO,GNQ",309,3.762649897804278,8.779453191312774
10669bd9,"MALABO,GNQ",309,3.8078927495441146,8.74523015208675
1066995b,"MALABO,GNQ",309,3.7931496424320943,8.75680455042872
10669969,"MALABO,GNQ",309,3.802821183614437,8.76142835377118
10669943,"MALABO,GNQ",309,3.7980120097138372,8.761861954043358
10669edd,"MALABO,GNQ",309,3.763615382981362,8.78268045880745
10669ee9,"MALABO,GNQ",309,3.7590008311406664,8.780549717823321
10669ec1,"MALABO,GNQ",309,3.7618242477427035,8.772263168659977
1066994d,"MALABO,GNQ",309,3.7828471284523864,8.761680609023456
1066995f,"MALABO,GNQ",309,3.797917675490863,8.7502538167904
1066995d,"MALABO,GNQ",309,3.797876053283184,8.756189101729504
10669961,"MALABO,GNQ",309,3.803222548689796,8.750580341359873
10669ead,"MALABO,GNQ",309,3.7781236290069833,8.756386554557055
10669b79,"PUNTA EUROPA TERMINAL,GNQ",309,3.7871915331783215,8.703550671949124
10669be1,"PUNTA EUROPA TERMINAL,GNQ",309,3.797825507259782,8.745275553648586
10669be3,"PUNTA EUROPA TERMINAL,GNQ",309,3.7932466382609653,8.745705470218352
10669c1f,"PUNTA EUROPA TERMINAL,GNQ",309,3.763201697403077,8.74345208555724
